aX,aY,aZ,gX,gY,gZ
0.416,-0.526,-0.533,-73.242,203.308,-66.406
0.292,-0.592,-0.799,-88.562,217.407,-69.763
0.199,-0.744,-1.098,-87.402,230.530,-73.792
0.148,-0.868,-1.367,-81.299,235.901,-70.618
0.149,-0.898,-1.543,-72.815,231.934,-54.504
0.179,-0.865,-1.609,-57.373,217.529,-32.898
0.203,-0.902,-1.633,-33.875,196.106,-9.705
0.240,-1.055,-1.681,-14.587,168.518,15.320
0.335,-1.108,-1.677,-14.526,131.958,41.260
0.376,-0.965,-1.581,-26.611,88.806,61.218
0.350,-0.807,-1.442,-36.255,47.302,74.951
0.312,-0.645,-1.319,-39.551,15.869,88.501
0.296,-0.477,-1.217,-39.063,-5.249,100.830
0.345,-0.354,-1.109,-35.217,-19.104,108.154
0.425,-0.268,-0.990,-30.151,-28.076,109.009
0.475,-0.221,-0.872,-28.320,-35.400,103.088
0.540,-0.164,-0.766,-30.212,-41.687,90.332
0.589,-0.099,-0.686,-32.471,-45.288,75.439
0.655,-0.049,-0.601,-32.654,-46.631,60.303
0.658,-0.050,-0.547,-29.968,-47.302,44.556
0.687,-0.066,-0.501,-26.062,-45.166,33.142
0.727,-0.082,-0.472,-21.667,-41.626,23.682
0.723,-0.121,-0.447,-17.395,-37.109,16.663
0.762,-0.143,-0.424,-16.174,-31.738,13.916
0.797,-0.141,-0.412,-16.479,-26.245,12.756
0.806,-0.165,-0.411,-16.113,-21.240,12.146
0.802,-0.189,-0.422,-15.625,-17.212,12.390
0.789,-0.194,-0.434,-15.625,-13.062,12.817
0.781,-0.185,-0.444,-15.381,-8.972,12.451
0.795,-0.173,-0.467,-14.221,-5.249,10.925
0.821,-0.179,-0.483,-11.719,-2.563,7.935
0.842,-0.186,-0.498,-9.033,-1.282,4.822
0.848,-0.192,-0.500,-6.104,-1.465,1.648
0.837,-0.202,-0.504,-3.784,-1.831,-0.916
0.828,-0.203,-0.510,-2.075,-2.014,-2.869
0.828,-0.209,-0.506,-0.122,-2.075,-5.615
0.835,-0.221,-0.495,3.296,-2.625,-7.996
0.839,-0.253,-0.475,6.592,-3.235,-9.705
0.838,-0.276,-0.457,8.118,-3.540,-10.376
0.831,-0.282,-0.444,7.996,-2.625,-9.766
0.833,-0.285,-0.439,7.751,-0.671,-7.751
0.846,-0.295,-0.437,7.202,1.343,-4.822
0.862,-0.295,-0.449,5.920,3.174,-1.526
0.877,-0.279,-0.457,3.662,3.906,0.977
0.886,-0.267,-0.468,1.770,2.991,2.747
0.880,-0.263,-0.462,1.221,1.221,3.052
0.869,-0.257,-0.451,1.038,-0.305,2.808
0.867,-0.254,-0.450,0.793,-0.977,2.563
0.880,-0.250,-0.444,0.549,-1.770,2.502
0.866,-0.245,-0.433,0.671,-2.991,2.380
0.899,-0.248,-0.412,1.099,-4.333,2.808
0.896,-0.235,-0.381,0.549,-4.028,3.601
0.919,-0.291,-0.402,-2.808,-8.179,3.967
0.905,-0.218,-0.386,-3.479,-7.812,2.075
0.895,-0.228,-0.372,-2.380,-8.118,6.287
0.901,-0.230,-0.364,-0.977,-8.606,5.432
0.904,-0.219,-0.362,-0.671,-8.728,4.944
0.902,-0.216,-0.360,-0.854,-8.362,4.456
0.912,-0.221,-0.362,-0.793,-7.141,2.808
0.917,-0.231,-0.358,-0.793,-6.226,0.977
0.920,-0.234,-0.352,-0.916,-5.554,-0.671
0.911,-0.241,-0.345,-1.038,-4.883,-1.099
0.895,-0.229,-0.351,-1.404,-4.456,-1.099
0.883,-0.224,-0.340,-0.671,-3.845,-1.465
0.877,-0.238,-0.332,0.732,-2.563,-2.380
0.877,-0.253,-0.334,1.587,-0.305,-3.601
0.875,-0.246,-0.346,0.916,1.587,-5.066
0.870,-0.243,-0.356,-0.122,2.808,-6.775
0.868,-0.256,-0.366,0.061,4.211,-7.935
0.885,-0.274,-0.388,0.244,4.761,-8.118
0.896,-0.287,-0.393,-0.122,3.601,-7.690
0.879,-0.302,-0.390,-0.916,1.343,-6.409
0.873,-0.313,-0.384,-1.648,-0.732,-4.761
0.869,-0.316,-0.378,-2.747,-2.136,-3.296
0.851,-0.313,-0.372,-3.540,-3.052,-2.441
0.858,-0.318,-0.374,-4.089,-3.479,-1.953
0.864,-0.319,-0.365,-4.333,-3.784,-1.770
0.865,-0.314,-0.359,-4.822,-3.967,-1.526
0.866,-0.315,-0.356,-4.639,-4.028,-1.221
0.872,-0.319,-0.353,-4.211,-4.089,-0.671
0.875,-0.324,-0.346,-4.456,-4.333,0.061
0.871,-0.322,-0.334,-4.578,-4.517,0.793
0.866,-0.329,-0.337,-3.662,-4.272,1.160
0.871,-0.332,-0.340,-3.357,-3.967,1.587
0.877,-0.327,-0.337,-3.418,-3.601,2.258
0.881,-0.324,-0.345,-3.601,-3.296,2.869
0.886,-0.318,-0.341,-4.089,-3.235,3.723
0.891,-0.310,-0.344,-4.639,-3.296,4.700
0.892,-0.305,-0.344,-5.127,-3.235,5.493
0.893,-0.297,-0.344,-6.042,-2.991,6.042
0.897,-0.281,-0.345,-7.019,-2.808,6.653
0.895,-0.268,-0.346,-6.531,-2.502,6.714
0.897,-0.270,-0.351,-5.188,-1.770,6.409

-0.023,-0.576,-2.138,85.815,-35.706,-66.162
0.034,-0.648,-2.200,95.032,-76.294,-68.298
0.092,-0.673,-2.173,105.225,-123.901,-69.641
0.084,-0.623,-2.022,117.371,-178.223,-73.303
0.058,-0.593,-1.780,133.789,-235.596,-81.299
0.020,-0.594,-1.480,153.625,-289.551,-93.689
-0.011,-0.681,-1.137,172.241,-336.121,-109.070
0.010,-0.798,-0.734,182.922,-373.840,-120.972
0.071,-0.916,-0.275,183.167,-404.053,-123.901
0.173,-0.986,0.259,173.218,-428.284,-118.286
0.257,-1.017,0.995,158.203,-441.040,-104.004
-0.317,-1.806,2.330,148.987,-419.189,-81.543
-2.504,3.611,4.000,174.927,-284.485,-64.026
0.763,-3.861,3.945,541.382,153.992,-118.286
4.000,-4.000,-2.159,224.854,532.776,184.692
4.000,-0.143,-0.522,-63.721,250.122,293.274
2.763,0.987,-0.558,-334.778,16.785,129.333
0.178,1.289,0.828,-233.521,-56.702,59.326
-0.645,0.530,1.177,-65.002,-21.973,9.399
0.157,-1.070,1.000,20.142,49.194,-10.925
1.049,-0.716,0.841,7.507,107.727,12.390
1.098,-0.264,0.638,-32.471,134.521,26.733
1.084,-0.114,0.461,-62.866,139.954,29.724
1.069,-0.103,0.322,-79.346,135.132,33.203
0.951,-0.219,0.205,-87.830,124.390,34.790
0.832,-0.282,0.095,-92.712,117.004,34.058
0.781,-0.312,-0.010,-94.788,115.906,26.978
0.765,-0.344,-0.147,-95.215,119.507,13.428
0.749,-0.415,-0.296,-93.262,123.779,-0.549
0.701,-0.469,-0.442,-88.989,127.563,-13.000
0.645,-0.500,-0.578,-84.167,130.859,-18.066
0.590,-0.544,-0.701,-78.186,132.690,-15.442
0.523,-0.588,-0.805,-71.899,132.202,-6.775
0.509,-0.658,-0.913,-65.125,128.662,1.465
0.511,-0.726,-1.015,-60.608,121.094,8.789
0.505,-0.751,-1.071,-60.059,107.483,15.564
0.523,-0.729,-1.091,-60.181,90.576,20.386
0.477,-0.684,-1.083,-57.861,73.303,23.804
0.440,-0.650,-1.060,-53.284,58.105,28.442
0.420,-0.616,-1.027,-48.340,45.166,34.424
0.453,-0.603,-0.971,-44.617,34.668,41.504
0.486,-0.575,-0.914,-41.382,25.208,44.739
0.509,-0.532,-0.868,-39.551,17.029,46.814
0.551,-0.477,-0.833,-38.147,10.193,48.584
0.602,-0.422,-0.787,-34.058,4.517,49.866
0.649,-0.380,-0.734,-28.076,0.244,51.208
0.716,-0.345,-0.682,-21.912,-3.418,52.490
0.755,-0.324,-0.636,-16.846,-7.202,51.941
0.785,-0.299,-0.590,-14.648,-11.108,51.208
0.791,-0.274,-0.550,-14.526,-14.832,49.255
0.783,-0.245,-0.505,-15.015,-17.151,45.715
0.781,-0.236,-0.464,-15.381,-17.822,41.199
0.781,-0.244,-0.431,-16.052,-16.968,36.072
0.780,-0.233,-0.402,-17.395,-14.465,31.189
0.793,-0.210,-0.385,-18.250,-11.108,27.039
0.812,-0.201,-0.377,-16.602,-7.568,23.437
0.828,-0.194,-0.379,-13.062,-4.639,21.362
0.833,-0.199,-0.391,-9.155,-2.808,19.958
0.834,-0.205,-0.395,-5.920,-1.221,19.165
0.845,-0.211,-0.400,-3.784,0.671,19.592
0.859,-0.222,-0.412,-3.418,1.770,19.653
0.869,-0.220,-0.422,-5.188,2.014,19.470
0.878,-0.215,-0.424,-7.751,1.526,19.043
0.891,-0.208,-0.422,-9.827,0.488,18.311
0.891,-0.193,-0.415,-11.108,-1.221,17.273
0.896,-0.194,-0.401,-11.169,-2.808,16.052
0.895,-0.197,-0.381,-10.010,-3.723,14.893
0.890,-0.202,-0.366,-9.155,-3.357,14.038
0.881,-0.203,-0.360,-7.812,-2.014,13.245
0.882,-0.204,-0.355,-6.592,-0.488,12.146
0.879,-0.204,-0.360,-5.615,0.854,10.010
0.875,-0.188,-0.352,-4.517,2.380,9.094
0.892,-0.207,-0.348,-2.808,3.601,9.338
0.891,-0.210,-0.350,-1.831,4.150,8.118
0.883,-0.212,-0.357,-1.709,4.272,7.568
0.872,-0.209,-0.363,-1.770,4.456,6.348
0.866,-0.202,-0.369,-1.160,4.822,4.456
0.861,-0.204,-0.376,0.244,5.127,2.380
0.860,-0.210,-0.378,2.136,5.127,0.854
0.858,-0.220,-0.373,3.662,4.883,-0.244
0.857,-0.225,-0.369,4.395,4.456,-0.488
0.858,-0.227,-0.369,4.211,4.028,-0.061
0.854,-0.226,-0.370,3.906,2.991,0.000
0.856,-0.232,-0.368,3.845,2.441,-0.305
0.865,-0.236,-0.361,2.991,2.258,-0.427
0.867,-0.242,-0.357,2.563,2.014,-0.549
0.872,-0.242,-0.356,1.770,1.709,-0.610
0.877,-0.245,-0.340,0.793,1.282,-0.549
0.884,-0.246,-0.321,-0.549,1.282,0.305
0.886,-0.240,-0.316,-1.648,1.648,0.977
0.884,-0.241,-0.315,-2.258,2.075,1.648
0.888,-0.240,-0.315,-2.502,2.930,1.770
0.891,-0.242,-0.317,-2.319,4.272,1.343
0.893,-0.241,-0.328,-2.197,5.493,0.610
0.896,-0.238,-0.337,-1.709,5.981,-0.244
0.897,-0.243,-0.334,-0.671,6.042,-1.099
0.895,-0.246,-0.326,0.183,6.042,-1.648
0.891,-0.261,-0.330,0.854,6.531,-2.258
0.885,-0.271,-0.334,1.038,6.958,-3.052
0.885,-0.271,-0.340,0.793,7.324,-3.540
0.886,-0.273,-0.353,0.061,7.202,-3.662
0.893,-0.278,-0.355,-0.183,6.836,-3.723
0.898,-0.287,-0.348,0.366,6.104,-3.235
0.900,-0.295,-0.345,0.488,5.615,-2.563
0.889,-0.298,-0.347,0.122,5.127,-1.831
0.877,-0.295,-0.349,-0.671,4.761,-1.282
0.883,-0.296,-0.346,-1.892,5.066,-0.732
0.893,-0.294,-0.351,-2.625,5.615,-0.061
0.903,-0.285,-0.356,-2.991,5.737,0.427
0.908,-0.282,-0.355,-2.502,4.700,0.977
0.908,-0.281,-0.348,-1.953,3.723,1.099
0.905,-0.279,-0.343,-1.465,2.686,0.854
0.898,-0.273,-0.337,-0.977,2.136,0.549
0.886,-0.269,-0.333,-0.122,2.014,0.061
0.874,-0.276,-0.333,0.793,2.502,-0.549
0.870,-0.280,-0.337,1.709,3.967,-0.732
0.875,-0.280,-0.343,1.953,5.432,-0.793
0.881,-0.281,-0.353,2.014,6.470,-0.793
0.881,-0.283,-0.358,2.258,6.653,-0.549

0.224,-0.520,-2.048,113.037,-123.718,-56.335
0.184,-0.496,-1.961,115.540,-185.425,-64.819
0.160,-0.421,-1.734,120.056,-252.625,-75.134
0.099,-0.426,-1.454,130.371,-320.435,-89.783
0.025,-0.485,-1.130,144.348,-378.357,-107.727
-0.137,-0.551,-0.730,157.349,-421.875,-125.427
-0.168,-0.696,-0.256,169.556,-456.482,-137.573
-0.028,-0.921,0.312,174.438,-479.736,-137.939
-0.543,-1.894,2.246,168.518,-475.769,-120.239
-3.325,4.000,4.000,146.118,-327.087,-88.684
1.499,-3.140,4.000,666.199,86.182,-229.309
4.000,-4.000,-1.922,525.269,422.241,9.521
4.000,-2.687,-0.013,130.798,157.715,243.042
2.527,-0.293,-0.234,-275.879,-81.665,83.496
-0.839,0.735,1.072,-303.894,-153.259,27.832
-1.100,-0.102,1.381,-251.404,-86.731,69.397
0.140,-0.867,0.961,-192.078,25.146,86.243
0.920,-0.195,0.725,-147.705,107.849,102.722
1.119,0.371,0.599,-121.582,145.264,91.431
1.228,0.336,0.498,-79.285,152.893,61.523
1.222,-0.013,0.381,-49.927,147.400,39.490
1.050,-0.218,0.283,-57.861,133.789,25.391
0.905,-0.155,0.183,-81.909,125.427,14.648
0.875,-0.153,0.106,-91.187,125.610,2.441
0.866,-0.300,0.018,-84.473,130.188,-10.071
0.852,-0.442,-0.121,-77.576,136.108,-22.705
0.801,-0.478,-0.294,-77.698,142.700,-26.001
0.748,-0.467,-0.469,-79.224,147.888,-22.095
0.687,-0.472,-0.612,-77.332,151.428,-12.024
0.626,-0.524,-0.737,-73.303,151.550,1.099
0.579,-0.573,-0.820,-69.641,146.851,14.099
