aX,aY,aZ,gX,gY,gZ
-0.104,-0.277,0.803,-4.822,38.574,23.865
-0.005,-0.257,0.797,-7.019,43.518,20.325
0.093,-0.258,0.821,-10.376,45.105,15.137
0.201,-0.229,0.866,-16.724,41.565,9.277
0.299,-0.239,0.906,-24.292,32.288,0.854
0.352,-0.221,0.918,-33.752,19.531,-6.165
0.397,-0.109,0.926,-43.518,6.653,-11.597
0.455,0.017,0.919,-48.340,-3.052,-14.771
0.467,0.130,0.908,-45.227,-7.080,-14.465
0.504,0.195,0.886,-34.180,-4.395,-12.939
0.562,0.177,0.880,-16.907,2.136,-12.085
0.609,0.098,0.885,2.014,11.658,-12.756
0.671,-0.021,0.896,16.479,21.545,-14.709
0.715,-0.153,0.913,23.437,27.771,-17.395
0.680,-0.225,0.932,22.461,29.541,-19.409
0.685,-0.223,0.954,17.212,28.442,-24.414
0.703,-0.192,0.972,11.047,26.428,-31.067
0.698,-0.168,0.979,5.859,24.353,-33.752
0.661,-0.142,0.982,1.953,22.827,-32.104
0.662,-0.122,0.975,0.732,23.804,-28.748
0.651,-0.112,0.962,2.686,26.367,-25.452
0.640,-0.115,0.955,7.141,29.846,-23.621
0.636,-0.158,0.957,12.024,33.203,-21.545
0.623,-0.182,0.960,15.320,35.339,-20.264
0.610,-0.193,0.965,17.334,35.767,-20.752
0.582,-0.210,0.976,18.005,34.973,-20.874
0.557,-0.235,0.990,16.602,33.508,-19.714
0.522,-0.247,1.000,13.428,31.921,-17.883
0.490,-0.245,1.005,9.399,30.640,-16.296
0.464,-0.259,1.007,6.104,29.663,-15.076
0.441,-0.251,1.003,3.174,27.832,-14.526
0.413,-0.251,1.008,1.099,25.208,-15.442
0.384,-0.266,1.015,0.000,22.461,-16.296
0.364,-0.256,1.012,-1.160,20.813,-16.541
0.363,-0.240,1.006,-1.587,19.775,-18.372
0.350,-0.229,1.003,-0.732,18.250,-19.714
0.348,-0.229,0.998,1.465,16.846,-19.775
0.341,-0.219,0.988,3.296,15.320,-18.005
0.333,-0.212,0.976,5.249,13.977,-15.015
0.315,-0.230,0.972,7.507,12.817,-11.963
0.298,-0.256,0.966,8.484,11.108,-8.362
0.260,-0.279,0.961,7.996,9.521,-7.935
0.273,-0.246,0.957,6.470,8.911,-12.085
0.260,-0.251,0.953,4.822,8.240,-5.981
0.232,-0.252,0.957,4.028,7.568,-2.686
0.227,-0.269,0.964,3.662,6.470,-1.404
0.208,-0.281,0.968,2.747,4.700,0.977
0.185,-0.282,0.965,1.404,2.869,4.211
0.176,-0.280,0.965,0.488,1.709,6.775
0.170,-0.275,0.959,-0.305,1.221,9.155
0.163,-0.271,0.960,-0.610,1.404,11.230
0.165,-0.270,0.960,-0.916,1.587,12.146
0.156,-0.256,0.960,-1.038,1.526,13.245
0.159,-0.236,0.958,-0.977,1.282,14.343
0.155,-0.217,0.956,-0.183,0.854,13.916
