aX,aY,aZ,gX,gY,gZ
-0.091,-0.316,-1.484,-2.686,211.792,9.949
-0.148,-0.155,-1.555,-14.709,185.059,14.343
-0.293,0.028,-1.662,-11.169,161.743,11.719
-0.414,0.015,-1.708,10.315,148.743,3.479
-0.372,-0.089,-1.724,33.325,142.029,-1.404
-0.310,-0.223,-1.726,41.382,136.963,-4.150
-0.270,-0.201,-1.709,37.781,134.521,-2.869
-0.193,-0.227,-1.682,25.818,127.747,3.357
-0.142,-0.234,-1.638,12.207,116.821,10.498
-0.078,-0.162,-1.585,-0.061,101.929,12.268
-0.005,-0.101,-1.528,-8.911,84.656,13.977
0.004,-0.058,-1.474,-11.597,66.223,15.503
0.002,-0.022,-1.448,-10.681,48.523,13.489
0.018,0.022,-1.407,-5.737,36.072,7.324
0.042,-0.020,-1.365,-0.488,27.161,5.249
0.044,-0.057,-1.318,1.709,21.362,4.578
0.062,-0.071,-1.283,-0.122,17.395,3.357
0.066,-0.094,-1.254,-3.723,15.259,2.625
0.068,-0.104,-1.232,-7.263,13.916,0.244
0.069,-0.106,-1.210,-10.193,13.794,-1.465
0.062,-0.118,-1.191,-12.268,14.526,-2.075
0.058,-0.121,-1.180,-13.184,15.320,-2.502
0.053,-0.120,-1.168,-12.634,14.954,-3.113
0.050,-0.133,-1.161,-10.437,13.977,-3.601
0.051,-0.139,-1.152,-7.446,12.451,-3.784
0.048,-0.146,-1.141,-4.822,10.193,-2.747
0.040,-0.157,-1.133,-3.174,7.751,-0.916
0.026,-0.152,-1.122,-2.319,5.615,1.770
0.012,-0.139,-1.114,-2.563,3.540,4.150
0.000,-0.123,-1.098,-2.686,1.648,5.493
0.004,-0.107,-1.096,-2.869,-0.488,5.493
-0.007,-0.086,-1.084,-2.258,-1.526,4.211
-0.022,-0.076,-1.075,-0.732,-1.892,3.296
-0.022,-0.073,-1.064,1.282,-2.747,2.991
-0.014,-0.087,-1.052,2.319,-3.540,1.709
0.000,-0.083,-1.040,1.709,-3.967,1.587
0.002,-0.084,-1.029,0.305,-4.700,2.014
0.018,-0.082,-1.016,-1.160,-5.859,1.282
0.031,-0.083,-1.002,-2.136,-7.263,0.183
0.042,-0.084,-0.986,-2.808,-8.423,-0.549

0.902,-0.333,1.517,-2.991,-115.356,26.306
0.871,-0.271,1.623,-23.987,-102.051,26.978
0.793,-0.191,1.687,-47.729,-85.999,25.269
0.738,-0.039,1.703,-68.542,-64.087,20.752
0.667,0.099,1.687,-82.336,-35.706,17.456
0.609,0.217,1.651,-87.524,-1.648,12.817
0.592,0.310,1.591,-84.839,36.133,6.531
0.572,0.361,1.500,-76.782,75.623,0.732
0.559,0.336,1.396,-65.247,114.929,-3.906
0.538,0.328,1.257,-54.749,151.978,-6.714
0.502,0.340,1.098,-45.349,185.913,-9.155
0.483,0.336,0.940,-35.217,216.370,-12.085
0.445,0.318,0.801,-25.513,242.432,-13.062
0.428,0.258,0.672,-17.639,263.794,-16.113
0.432,0.202,0.573,-12.878,281.006,-20.264
0.432,0.104,0.486,-11.841,293.518,-23.621
0.398,0.044,0.405,-16.174,301.514,-26.550
0.353,0.036,0.318,-23.132,306.213,-30.212
0.328,0.081,0.213,-26.367,308.105,-35.828
0.254,0.108,0.108,-21.179,309.021,-41.504
0.254,0.179,-0.001,-8.484,308.167,-48.828
0.292,0.159,-0.091,10.742,304.932,-50.720
0.206,0.011,-0.151,31.982,301.392,-53.589
0.189,-0.120,-0.202,42.847,297.668,-51.147
0.152,-0.257,-0.245,38.757,295.105,-43.884
0.073,-0.285,-0.344,21.423,292.236,-35.400
-0.105,-0.137,-0.548,0.122,291.931,-28.381
-0.304,0.102,-0.784,-5.859,300.964,-28.259
-0.403,0.221,-1.028,12.085,320.557,-34.973
-0.419,0.085,-1.175,45.715,345.581,-40.405
-0.243,-0.235,-1.219,70.679,363.525,-36.133
-0.093,-0.503,-1.190,62.866,364.441,-18.066
-0.100,-0.536,-1.232,25.208,347.290,4.211
-0.313,-0.278,-1.384,-17.761,319.336,21.240
-0.443,-0.003,-1.551,-38.940,292.236,18.799
-0.486,0.047,-1.647,-30.457,274.292,14.160
-0.535,0.006,-1.723,-13.428,260.681,9.583
-0.506,-0.040,-1.748,1.038,248.779,2.625
-0.400,-0.213,-1.731,6.042,233.521,1.221
-0.376,-0.260,-1.750,-4.395,209.961,4.761
-0.400,-0.187,-1.777,-19.043,183.594,4.578
-0.382,-0.164,-1.777,-27.283,159.546,2.930
-0.380,-0.117,-1.788,-29.419,138.428,1.038
-0.442,-0.026,-1.811,-25.513,121.948,-2.625
-0.430,-0.024,-1.788,-13.306,110.718,-7.141
-0.332,-0.136,-1.740,-0.977,100.525,-8.972
-0.234,-0.218,-1.680,2.869,87.585,-8.118
